gameId,title,genres,price,release_date
413,Metal Gear Solid: Digital Graphic Novel,Adventure,17.95,2006
414,Star Trek: Tactical Assault,Action|Strategy,17.95,2006
415,Micro Machines V4,Action|Racing,17.95,2006
416,Platypus,Action,14.95,2006
417,Custom Robo Arena,Action|Role-Playing (RPG),17.95,2006
418,Gurumin: A Monstrous Adventure,Action,13.95,2006
419,Spider-Man 3,Action,6.95,2006
420,Wii Fit,Educational|Sports,24.95,2007
421,Halo 3,Action,24.95,2007
422,Call of Duty 4: Modern Warfare,Action,29.95,2007
423,Super Mario Galaxy,Action,39.95,2007
424,Mario Party DS,Action|Strategy,27.95,2007
425,Mario Party 8,Action|Strategy,39.95,2007
426,Guitar Hero III: Legends of Rock,Action|Simulation,12.95,2007
427,Link's Crossbow Training,Action,14.95,2007
428,Guitar Hero III: Legends of Rock,Action|Simulation,49.95,2007
429,Assassin's Creed,Action,16.95,2007
430,LEGO Star Wars: The Complete Saga,Action,17.95,2007
431,Call of Duty 4: Modern Warfare,Action,24.95,2007
432,Mario & Sonic at the Olympic Games,Action|Sports,29.95,2007
433,LEGO Star Wars: The Complete Saga,Action|Racing,17.95,2007
434,Forza Motorsport 2,Racing,12.95,2007
435,Madden NFL 08,Sports,9.95,2007
436,Guitar Hero II,Action|Simulation,17.95,2007
437,Rock Band,Action|Simulation,14.95,2007
438,The Legend of Zelda: Phantom Hourglass,Action,24.95,2007
439,Pokmon Mystery Dungeon: Explorers of Darkness,Role-Playing (RPG),15.95,2007
440,Pokmon Mystery Dungeon: Explorers of Time,Role-Playing (RPG),24.95,2007
441,Assassin's Creed,Action,17.95,2007
442,Uncharted: Drake's Fortune,Action,24.95,2007
443,Mass Effect,Action|Role-Playing (RPG),17.95,2007
444,Cooking Mama 2: Dinner with Friends,Simulation,17.95,2007
445,BioShock,Action,16.95,2007
446,Super Paper Mario,Action|Role-Playing (RPG),29.95,2007
447,Game Party,Action,14.95,2007
448,Ratchet & Clank: Size Matters,Action,14.95,2007
449,Dance Dance Revolution Hottest Party,Action,17.95,2007
450,Cooking Mama: Cook Off,Simulation,14.95,2007
451,Gran Turismo 5: Prologue,Racing|Simulation,24.95,2007
452,Professor Layton and the Curious Village,Adventure|Educational|Strategy,23.95,2007
453,Resident Evil 4,Action,16.95,2007
454,The Elder Scrolls IV: Oblivion,Action|Role-Playing (RPG),17.95,2007
455,Transformers: Autobots,Action|Racing,17.95,2007
456,Transformers: Decepticons,Action|Racing,17.95,2007
457,Diddy Kong Racing DS,Racing|Sports,24.95,2007
458,Big Brain Academy: Wii Degree,Action,19.95,2007
459,Need for Speed: ProStreet,Racing,16.95,2007
460,Deal or No Deal,Strategy,11.95,2007
461,LEGO Star Wars: The Complete Saga,Action,17.95,2007
462,Sonic and the Secret Rings,Action,16.95,2007
463,The Orange Box,Action,17.95,2007
464,Crackdown,Action|Racing|Role-Playing (RPG),14.95,2007
465,Rock Band,Action|Simulation,14.95,2007
466,Tiger Woods PGA Tour 08,Sports,17.95,2007
467,WWE Smackdown vs. Raw 2008,Sports,12.95,2007
468,Madden NFL 08,Sports,9.95,2007
469,Call of Duty 4: Modern Warfare,Action,19.95,2007
470,MySims,Simulation|Strategy,17.95,2007
471,Mario Strikers Charged,Action|Sports,29.95,2007
472,Star Wars Battlefront: Renegade Squadron,Action,16.95,2007
473,Flash Focus: Vision Training in Minutes a Day,Action,17.95,2007
474,Metroid Prime 3: Corruption,Action,19.95,2007
475,Tom Clancy's Ghost Recon: Advanced Warfighter 2...,Action,14.95,2007
476,Madden NFL 08,Sports,12.95,2007
477,Ratchet & Clank Future: Tools of Destruction,Action,22.95,2007
478,LEGO Star Wars: The Complete Saga,Action,17.95,2007
479,Rayman Raving Rabbids 2,Action,17.95,2007
480,NBA 2K8 ,Sports,9.95,2007
481,Namco Museum DS,Action,17.95,2007
482,Need for Speed: ProStreet,Racing,16.95,2007
483,Blazing Angels: Squadrons of WWII,Action,16.95,2007
484,Drawn to Life,Action,17.95,2007
485,EA Playground,Action|Racing|Sports,17.95,2007
486,Major League Baseball 2K7,Sports,9.95,2007
487,Resident Evil: The Umbrella Chronicles,Action,19.95,2007
488,NCAA Football 08,Sports,9.95,2007
489,Spectrobes,Action|Strategy,14.95,2007
490,The Sims 2: Castaway,Simulation,16.95,2007
491,WWE Smackdown vs. Raw 2008,Sports,14.95,2007
492,Madden NFL 08,Sports,9.95,2007
493,NBA Live 08,Sports,9.95,2007
494,The Simpsons Game,Action,17.95,2007
495,Ace Combat 6: Fires of Liberation,Action|Simulation,19.95,2007
496,Heavenly Sword,Action,24.95,2007
497,Ninja Gaiden Sigma,Action,19.95,2007
498,Ben 10: Protector of the Earth,Action,16.95,2007
499,The Simpsons Game,Action,17.95,2007
